source,config,powerline_hz,artifact,target_snr_db,actual_input_snr_db,output_snr_db,snr_improvement_db,rmse_mv,heart_rate_bpm,sqi,tp,fp,fn,precision,recall,f1,mean_abs_timing_error_ms,bias_timing_error_ms
synthetic,aggressive,60.0,impulse,-5,-5.0000000000000275,0.8300198301795383,5.830019830179566,0.19756072132484157,74.68712151796528,0.6829828834678702,34,4,1,0.8947368421052632,0.9714285714285714,0.9315068493150684,2.4705882352941178,-0.35294117647058826
synthetic,balanced,60.0,all,0,-9.112894558928659e-14,1.842589217675734,1.842589217675825,0.17582156191228426,71.97290431837428,0.8592584315410903,35,0,0,1.0,1.0,1.0,0.45714285714285713,-0.22857142857142856
synthetic,aggressive,60.0,all,0,-9.112894558928659e-14,2.542893403085902,2.542893403085993,0.16220226877133942,71.97290431837426,0.8641237249211826,35,0,0,1.0,1.0,1.0,0.34285714285714286,-0.34285714285714286
synthetic,balanced,60.0,baseline,0,-9.064678185600992e-14,4.309544875654349,4.3095448756544394,0.13235012350121725,71.98306280875089,0.7833490737032276,35,0,0,1.0,1.0,1.0,1.2571428571428571,0.5714285714285714
synthetic,aggressive,60.0,baseline,0,-9.064678185600992e-14,4.75615803731177,4.75615803731186,0.12571690851607425,71.97290431837428,0.8189423053576916,35,0,0,1.0,1.0,1.0,0.8,-0.34285714285714286
synthetic,balanced,60.0,motion,0,-9.064678185600992e-14,1.0867050720760043,1.086705072076095,0.19180783400192974,71.97290431837426,0.8164961534848073,35,0,0,1.0,1.0,1.0,1.0285714285714285,-0.34285714285714286
synthetic,aggressive,60.0,motion,0,-9.064678185600992e-14,2.057998327930508,2.0579983279305987,0.1715148304273463,71.97290431837428,0.8379352529732262,35,0,0,1.0,1.0,1.0,1.1428571428571428,-0.45714285714285713
synthetic,balanced,60.0,impulse,0,-9.161110932256325e-14,3.3646806907213502,3.3646806907214417,0.14755963087053148,71.97290431837428,0.7636872830008767,35,0,0,1.0,1.0,1.0,2.057142857142857,-0.45714285714285713
synthetic,aggressive,60.0,impulse,0,-9.161110932256325e-14,4.042615030438786,4.042615030438878,0.1364805748814179,71.97290431837428,0.7985751615832968,35,0,0,1.0,1.0,1.0,0.8,-0.34285714285714286
synthetic,balanced,60.0,all,5,4.99999999999971,4.164802383335006,-0.8351976166647033,0.13457409735784354,71.97290431837428,0.8767460573080563,35,0,0,1.0,1.0,1.0,0.5714285714285714,-0.5714285714285714
synthetic,aggressive,60.0,all,5,4.99999999999971,4.601393991651787,-0.39860600834792237,0.12797699108574623,71.97290431837428,0.8803690864074198,35,0,0,1.0,1.0,1.0,0.6857142857142857,-0.45714285714285713
synthetic,balanced,60.0,baseline,5,4.999999999999709,6.362488878245291,1.362488878245582,0.1044905826286495,71.97290431837428,0.8966343798608816,35,0,0,1.0,1.0,1.0,0.0,0.0
